season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2020-2021,Fargin,Kab_Elgidad,0.77,0.42,0.58,5.25,1.99,0.37,0.79,0.45,0.55,5.57,2.11,0.37,0,0.04,0.3,0,0,0,0.86,0.7,0.96,8.81,3.34,0.44,0.08,0.1,0.1,1.47,0.56,0.04,0.76,0.37,0.51,4.59,1.74,0.36,0.25,0.81,0.49,0.63,6.19,2.35,0.39,0.75
2020-2021,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.76,0.42,0.58,4.82,1.83,0.33,0.79,0.45,0.55,5.16,1.96,0.34,0.23,0.08,0.37,0.5,0.19,0.16,0.84,0.63,0.92,8.07,3.06,0.4,0.07,0.11,0.11,1.45,0.55,0.03,0.75,0.36,0.5,4.04,1.53,0.33,0.25,0.8,0.5,0.64,5.81,2.2,0.35,0.75
2020-2021,Fawar,Tabat,0.76,0.45,0.55,5.11,1.94,0.33,0.78,0.47,0.53,5.42,2.06,0.34,0,0.06,0.28,0.2,0.08,0.09,0.85,0.72,0.94,8.33,3.16,0.39,0.08,0.11,0.11,1.47,0.56,0.03,0.76,0.4,0.47,4.46,1.69,0.33,0.25,0.8,0.53,0.6,6.09,2.31,0.35,0.75
2020-2021,Abd_Elmagid,Surhan,0.76,0.43,0.57,5.01,1.9,0.33,0.78,0.45,0.55,5.28,2,0.34,0.27,0.08,0.37,0.46,0.17,0.16,0.83,0.63,0.92,7.75,2.94,0.38,0.06,0.1,0.1,1.33,0.5,0.03,0.76,0.38,0.5,4.41,1.67,0.33,0.25,0.8,0.5,0.62,5.92,2.25,0.35,0.75
2020-2021,Surhan_Al_Riyasa,Surhan,0.76,0.45,0.55,5.18,1.97,0.33,0.78,0.48,0.52,5.52,2.09,0.34,0,0.05,0.25,0,0,0,0.85,0.75,0.95,8.96,3.4,0.39,0.08,0.11,0.11,1.46,0.55,0.03,0.76,0.41,0.47,4.61,1.75,0.33,0.25,0.8,0.53,0.59,6.13,2.33,0.34,0.75
2020-2021,Istarhna,Al_Gourashi,0.75,0.41,0.59,4.45,1.69,0.32,0.77,0.43,0.57,4.7,1.78,0.33,0.01,0.06,0.36,0.22,0.08,0.11,0.84,0.64,0.94,7.15,2.71,0.37,0.08,0.1,0.1,1.27,0.48,0.03,0.74,0.36,0.52,3.89,1.48,0.32,0.25,0.79,0.48,0.64,5.31,2.02,0.34,0.75
2020-2021,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.77,0.45,0.55,4.93,1.87,0.32,0.79,0.47,0.53,5.13,1.94,0.33,0.07,0.09,0.28,0.38,0.14,0.12,0.89,0.72,0.91,8.73,3.31,0.38,0.07,0.11,0.11,1.39,0.53,0.03,0.76,0.4,0.48,4.34,1.64,0.32,0.25,0.81,0.52,0.6,5.79,2.2,0.34,0.75
2020-2021,El_Rukun,Tabat,0.74,0.43,0.57,4.55,1.73,0.31,0.76,0.45,0.55,4.79,1.82,0.32,0,0.07,0.35,0.16,0.06,0.07,0.84,0.65,0.93,7.31,2.77,0.37,0.08,0.09,0.09,1.17,0.44,0.03,0.74,0.39,0.51,4.1,1.56,0.31,0.25,0.78,0.49,0.61,5.31,2.01,0.33,0.75
2020-2021,Wad_El_Saiyid,Elmessellamia,0.76,0.44,0.56,4.51,1.71,0.31,0.77,0.45,0.55,4.74,1.8,0.31,0.03,0.07,0.26,0.25,0.09,0.11,0.86,0.74,0.93,7.75,2.94,0.36,0.06,0.09,0.09,1.1,0.42,0.03,0.74,0.39,0.5,3.93,1.49,0.3,0.25,0.79,0.5,0.61,5.25,1.99,0.32,0.75
2020-2021,Al_Firijab,Surhan,0.76,0.48,0.52,5.13,1.95,0.31,0.78,0.51,0.49,5.41,2.05,0.32,0,0.05,0.29,0,0,0,0.85,0.71,0.95,8.25,3.13,0.36,0.07,0.11,0.11,1.35,0.51,0.03,0.76,0.44,0.45,4.63,1.76,0.31,0.25,0.8,0.55,0.56,5.98,2.27,0.33,0.75
2020-2021,Tannub,Tabat,0.77,0.49,0.51,5.09,1.93,0.3,0.79,0.51,0.49,5.33,2.02,0.31,0.11,0.08,0.24,0.38,0.15,0.14,0.87,0.76,0.92,8.12,3.08,0.37,0.08,0.12,0.12,1.43,0.54,0.03,0.76,0.43,0.42,4.43,1.68,0.3,0.25,0.81,0.58,0.57,6.07,2.3,0.32,0.75
2020-2021,Tabat_Al_Riyasa,Tabat,0.76,0.47,0.53,4.9,1.86,0.31,0.77,0.49,0.51,5.12,1.94,0.31,0.05,0.08,0.24,0.27,0.1,0.11,0.85,0.76,0.92,8.23,3.12,0.36,0.06,0.09,0.09,1.15,0.44,0.02,0.75,0.43,0.47,4.44,1.69,0.3,0.25,0.79,0.53,0.57,5.64,2.14,0.32,0.75
2020-2021,Saad_Allah,Elmessellamia,0.75,0.43,0.57,4.21,1.6,0.29,0.76,0.43,0.57,4.34,1.65,0.3,0.11,0.08,0.26,0.33,0.13,0.13,0.85,0.74,0.92,7.62,2.89,0.34,0.06,0.09,0.09,1.11,0.42,0.02,0.73,0.37,0.51,3.6,1.37,0.29,0.25,0.78,0.49,0.63,4.92,1.87,0.31,0.75
2020-2021,Wad_ElBurr,Wad_ElBurr,0.78,0.55,0.45,5.52,2.09,0.3,0.79,0.57,0.43,5.68,2.15,0.3,0.11,0.08,0.2,0.33,0.13,0.13,0.85,0.8,0.92,8.42,3.2,0.34,0.05,0.11,0.11,1.23,0.47,0.02,0.77,0.5,0.37,4.93,1.87,0.29,0.25,0.81,0.63,0.5,6.35,2.41,0.3,0.75
2020-2021,Wad_Hilal,Wad_ElBurr,0.76,0.48,0.52,4.76,1.81,0.29,0.77,0.49,0.51,4.95,1.88,0.3,0,0.07,0.28,0,0,0,0.84,0.72,0.93,7.35,2.79,0.33,0.07,0.1,0.1,1.16,0.44,0.02,0.75,0.42,0.45,4.25,1.61,0.29,0.25,0.79,0.55,0.58,5.52,2.09,0.31,0.75
2020-2021,Elmessellamia_Al_Riyasa,Elmessellamia,0.76,0.45,0.55,4.29,1.63,0.29,0.76,0.45,0.55,4.34,1.65,0.29,0.62,0.22,0.39,1.63,0.62,0.22,0.82,0.61,0.78,6.07,2.3,0.32,0.04,0.07,0.07,0.9,0.34,0.02,0.74,0.41,0.5,3.81,1.45,0.28,0.25,0.78,0.5,0.59,4.93,1.87,0.3,0.75
2020-2021,Beika,Elmessellamia,0.76,0.47,0.53,4.61,1.75,0.29,0.77,0.48,0.52,4.75,1.8,0.3,0,0.08,0.23,0.24,0.09,0.09,0.88,0.77,0.92,7.68,2.92,0.33,0.06,0.1,0.1,1.17,0.44,0.02,0.74,0.42,0.46,4,1.52,0.29,0.25,0.79,0.54,0.58,5.36,2.03,0.3,0.75
2020-2021,Bortobeil,Elbasatna,0.77,0.53,0.47,5.09,1.93,0.29,0.78,0.55,0.45,5.31,2.01,0.29,0.02,0.08,0.11,0.25,0.1,0.1,0.86,0.89,0.92,9.97,3.78,0.33,0.06,0.11,0.11,1.21,0.46,0.02,0.76,0.49,0.4,4.61,1.75,0.28,0.25,0.8,0.6,0.51,5.84,2.22,0.3,0.75
2020-2021,Barakat_Al_Riyasa,Elbasatna,0.77,0.53,0.47,5.07,1.92,0.28,0.79,0.55,0.45,5.23,1.98,0.29,0.07,0.09,0.19,0.3,0.11,0.1,0.85,0.81,0.91,8.17,3.1,0.33,0.06,0.12,0.12,1.3,0.49,0.02,0.76,0.47,0.38,4.37,1.66,0.28,0.25,0.8,0.62,0.53,5.97,2.26,0.29,0.75
2020-2021,Wad_Figda,Hag Abdalla and North West Sennar,0.75,0.52,0.48,4.57,1.73,0.26,0.76,0.54,0.46,4.79,1.82,0.27,0.07,0.09,0.22,0.27,0.1,0.09,0.83,0.78,0.91,7.34,2.79,0.31,0.06,0.1,0.1,1.05,0.4,0.02,0.74,0.47,0.42,4.15,1.57,0.26,0.25,0.78,0.58,0.53,5.22,1.98,0.27,0.75
2020-2021,Al_Toman,Wad Elnaw,0.75,0.47,0.53,4.3,1.63,0.27,0.77,0.49,0.51,4.57,1.74,0.28,0.04,0.09,0.26,0.27,0.1,0.09,0.84,0.74,0.91,7.25,2.75,0.32,0.08,0.12,0.12,1.26,0.48,0.03,0.74,0.41,0.45,3.72,1.41,0.27,0.25,0.79,0.55,0.59,5.12,1.94,0.29,0.75
2020-2021,Hag_Abdalla,Hag Abdalla and North West Sennar,0.77,0.53,0.47,4.78,1.81,0.27,0.78,0.55,0.45,5.02,1.9,0.27,0.08,0.07,0.22,0.27,0.1,0.1,0.85,0.78,0.93,7.54,2.86,0.32,0.06,0.1,0.1,1.11,0.42,0.02,0.76,0.49,0.41,4.39,1.67,0.27,0.25,0.8,0.59,0.51,5.49,2.08,0.28,0.75
2020-2021,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.77,0.51,0.49,4.73,1.79,0.27,0.79,0.54,0.46,4.99,1.89,0.28,0,0.04,0.17,0,0,0,0.86,0.83,0.96,7.72,2.93,0.31,0.07,0.12,0.12,1.23,0.47,0.02,0.76,0.46,0.41,4.21,1.6,0.27,0.25,0.81,0.59,0.54,5.53,2.1,0.29,0.75
2020-2021,Hadad,Hag Abdalla and North West Sennar,0.72,0.48,0.52,4.06,1.54,0.25,0.73,0.49,0.51,4.2,1.59,0.26,0.23,0.12,0.26,0.49,0.19,0.12,0.82,0.74,0.88,6.52,2.47,0.28,0.07,0.1,0.1,1.02,0.39,0.02,0.71,0.44,0.47,3.72,1.41,0.25,0.25,0.76,0.53,0.56,4.55,1.73,0.26,0.75
2020-2021,Gundal,Hag Abdalla and North West Sennar,0.77,0.55,0.45,4.67,1.77,0.26,0.77,0.56,0.44,4.82,1.83,0.26,0.43,0.21,0.25,1.12,0.43,0.16,0.84,0.75,0.79,6.86,2.6,0.28,0.05,0.09,0.09,0.92,0.35,0.01,0.75,0.5,0.39,4.26,1.62,0.25,0.25,0.79,0.61,0.5,5.27,2,0.26,0.75
2020-2021,Fahal,El_Mukhtar,0.73,0.45,0.55,4.13,1.57,0.27,0.75,0.48,0.52,4.4,1.67,0.28,0,0.06,0.24,0,0,0,0.82,0.76,0.94,6.83,2.59,0.32,0.07,0.09,0.09,1.03,0.39,0.03,0.72,0.42,0.48,3.78,1.43,0.27,0.25,0.76,0.52,0.58,4.8,1.82,0.28,0.75
2020-2021,Hamadna_Allah,El_Mukhtar,0.74,0.47,0.53,4.57,1.73,0.29,0.76,0.49,0.51,4.88,1.85,0.29,0.01,0.07,0.31,0.12,0.04,0.05,0.83,0.69,0.93,6.86,2.6,0.34,0.07,0.1,0.1,1.14,0.43,0.03,0.74,0.43,0.47,4.15,1.57,0.28,0.25,0.78,0.53,0.57,5.34,2.02,0.3,0.75
2020-2021,Um_Degina,El_Mukhtar,0.74,0.46,0.54,4.58,1.74,0.29,0.75,0.48,0.52,4.81,1.83,0.3,0,0.08,0.27,0,0,0,0.83,0.73,0.92,7.75,2.94,0.34,0.07,0.09,0.09,1.13,0.43,0.03,0.73,0.42,0.48,4.08,1.55,0.29,0.25,0.77,0.52,0.58,5.24,1.99,0.3,0.75
2020-2021,Shaliee_Al_Riyasa,Shaliee,0.75,0.49,0.51,5.05,1.92,0.3,0.78,0.52,0.48,5.38,2.04,0.31,0,0.07,0.29,0,0,0,0.84,0.71,0.93,8.34,3.16,0.36,0.08,0.11,0.11,1.38,0.52,0.03,0.75,0.44,0.44,4.44,1.68,0.3,0.25,0.79,0.56,0.56,5.99,2.27,0.32,0.75
2020-2021,Wad_Elzain,Shaliee,0.76,0.48,0.52,5.14,1.95,0.31,0.78,0.51,0.49,5.46,2.07,0.32,0,0.06,0.26,0.14,0.05,0.07,0.85,0.74,0.94,8.11,3.08,0.37,0.07,0.11,0.11,1.35,0.51,0.03,0.76,0.44,0.45,4.61,1.75,0.31,0.25,0.8,0.55,0.56,6.04,2.29,0.33,0.75
2020-2021,Shandi,Shaliee,0.76,0.47,0.53,5.19,1.97,0.32,0.79,0.5,0.5,5.57,2.11,0.33,0,0.06,0.29,0.1,0.04,0.04,0.86,0.71,0.94,8.23,3.12,0.38,0.09,0.11,0.11,1.49,0.57,0.03,0.76,0.42,0.46,4.55,1.73,0.32,0.25,0.81,0.54,0.58,6.21,2.36,0.33,0.75
2020-2021,Elhurga_Nuraldin,Elhurga/Nuraldin,0.75,0.25,0.75,2.09,0.79,0.25,0.75,0.25,0.75,2.09,0.79,0.25,0.75,0.25,0.75,2.09,0.79,0.25,0.75,0.25,0.75,2.09,0.79,0.25,0,0,0,0,0,0,0.75,0.25,0.75,2.09,0.79,0.25,0.25,0.75,0.25,0.75,2.09,0.79,0.25,0.75
2020-2021,El_Sharqi_Al_Riyasa,Al Genied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75
2020-2021,El_Ariga,EL_Mansi,0.76,0.47,0.53,5.17,1.96,0.31,0.78,0.5,0.5,5.47,2.07,0.32,0,0.07,0.28,0.2,0.07,0.08,0.85,0.72,0.93,8.28,3.14,0.37,0.09,0.12,0.12,1.51,0.57,0.03,0.75,0.41,0.44,4.42,1.68,0.31,0.25,0.8,0.56,0.59,6.23,2.37,0.33,0.75
2020-2021,Shakir,EL_Mansi,0.76,0.45,0.55,4.98,1.89,0.32,0.78,0.47,0.53,5.32,2.02,0.33,0,0.06,0.28,0.16,0.06,0.08,0.85,0.72,0.94,8.85,3.36,0.38,0.09,0.11,0.11,1.45,0.55,0.03,0.75,0.39,0.48,4.32,1.64,0.32,0.25,0.8,0.52,0.61,5.95,2.26,0.34,0.75
2020-2021,EL_Nala,El_Tahameed,0.77,0.46,0.54,5.45,2.07,0.33,0.79,0.48,0.52,5.75,2.18,0.34,0,0.06,0.21,0.02,0.01,0.01,0.86,0.79,0.94,9.63,3.66,0.39,0.09,0.13,0.13,1.67,0.64,0.03,0.76,0.38,0.45,4.59,1.74,0.33,0.25,0.81,0.55,0.62,6.64,2.52,0.35,0.75
2020-2021,EL_Mansi_Al_Riyasa,EL_Mansi,0.76,0.48,0.52,5.19,1.97,0.31,0.78,0.51,0.49,5.52,2.09,0.32,0,0.06,0.26,0,0,0,0.85,0.74,0.94,8.85,3.36,0.37,0.09,0.11,0.11,1.48,0.56,0.03,0.76,0.42,0.44,4.53,1.72,0.31,0.25,0.8,0.56,0.58,6.19,2.35,0.33,0.75
2020-2021,El_Tahameed_Al_Riyasa,El_Tahameed,0.78,0.51,0.49,5.78,2.19,0.33,0.8,0.52,0.48,6.02,2.28,0.33,0.08,0.08,0.23,0.38,0.14,0.14,0.85,0.77,0.92,9.25,3.51,0.37,0.07,0.11,0.11,1.48,0.56,0.02,0.77,0.45,0.42,5.11,1.94,0.32,0.25,0.81,0.58,0.55,6.8,2.58,0.34,0.75
2020-2021,Tku,El_Tahameed,0.76,0.46,0.54,5.11,1.94,0.32,0.78,0.48,0.52,5.43,2.06,0.33,0,0.06,0.3,0.15,0.06,0.07,0.84,0.7,0.94,8.16,3.1,0.38,0.08,0.11,0.11,1.5,0.57,0.03,0.75,0.39,0.46,4.31,1.63,0.32,0.25,0.8,0.54,0.61,6.18,2.35,0.33,0.75
2020-2021,Al_Tarfa,Elfakhakhir,0.75,0.47,0.53,5.08,1.93,0.31,0.77,0.5,0.5,5.36,2.03,0.31,0,0.07,0.25,0,0,0,0.85,0.75,0.93,8.34,3.17,0.36,0.07,0.11,0.11,1.31,0.5,0.03,0.75,0.42,0.46,4.5,1.71,0.3,0.25,0.79,0.54,0.58,5.96,2.26,0.32,0.75
2020-2021,Al_Taayif,Elfakhakhir,0.75,0.48,0.52,5.11,1.94,0.3,0.78,0.51,0.49,5.44,2.06,0.31,0,0.06,0.25,0,0,0,0.85,0.75,0.94,8.24,3.13,0.35,0.09,0.12,0.12,1.46,0.55,0.03,0.75,0.43,0.44,4.42,1.68,0.3,0.25,0.79,0.56,0.57,6.13,2.32,0.32,0.75
2020-2021,Al_Krimit,Elfakhakhir,0.76,0.49,0.51,5.26,1.99,0.3,0.78,0.53,0.47,5.68,2.16,0.31,0,0.07,0.28,0,0,0,0.85,0.72,0.93,8.16,3.1,0.36,0.09,0.11,0.11,1.49,0.56,0.03,0.76,0.45,0.43,4.63,1.76,0.3,0.25,0.8,0.57,0.55,6.28,2.38,0.32,0.75
2020-2021,Hegeliga,Elhafair,0.75,0.46,0.54,4.8,1.82,0.3,0.78,0.49,0.51,5.13,1.95,0.3,0,0.07,0.2,0.14,0.05,0.06,0.85,0.8,0.93,8.29,3.15,0.39,0.08,0.11,0.11,1.42,0.54,0.03,0.74,0.41,0.46,4.11,1.56,0.29,0.25,0.79,0.54,0.59,5.81,2.2,0.31,0.75
2020-2021,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.74,0.45,0.55,4.72,1.79,0.3,0.77,0.48,0.52,5.06,1.92,0.31,0,0.06,0.26,0,0,0,0.84,0.74,0.94,8.33,3.16,0.37,0.09,0.12,0.12,1.47,0.56,0.04,0.74,0.39,0.46,3.97,1.51,0.29,0.25,0.79,0.54,0.61,5.78,2.19,0.31,0.75
2020-2021,Matouri_Al_Riyasa,Matouri,0.74,0.43,0.57,4.38,1.66,0.29,0.77,0.46,0.54,4.73,1.8,0.3,0,0.06,0.29,0.02,0.01,0.01,0.84,0.71,0.94,7.52,2.85,0.34,0.1,0.12,0.12,1.44,0.55,0.04,0.73,0.36,0.48,3.57,1.35,0.28,0.25,0.79,0.52,0.64,5.42,2.06,0.3,0.75
2020-2021,El_Zafir,Elhafair,0.75,0.46,0.54,4.8,1.82,0.3,0.77,0.48,0.52,5.06,1.92,0.3,0,0.07,0.2,0.18,0.07,0.07,0.83,0.8,0.93,8.11,3.08,0.36,0.07,0.11,0.11,1.31,0.5,0.03,0.74,0.4,0.47,4.25,1.61,0.3,0.25,0.78,0.53,0.6,5.67,2.15,0.31,0.75
2020-2021,Elhafair_Al_Riyasa,Elhafair,0.75,0.42,0.58,4.62,1.75,0.31,0.77,0.44,0.56,4.91,1.86,0.31,0,0.04,0.23,0,0,0,0.85,0.77,0.96,8.94,3.39,0.36,0.09,0.12,0.12,1.55,0.59,0.03,0.73,0.34,0.5,3.69,1.4,0.3,0.25,0.79,0.5,0.66,5.68,2.16,0.33,0.75
2020-2021,Um_Suneita,Matouri,0.74,0.42,0.58,4.28,1.62,0.29,0.76,0.44,0.56,4.61,1.75,0.3,0,0.07,0.29,0.13,0.05,0.04,0.85,0.71,0.93,7.66,2.91,0.34,0.09,0.11,0.11,1.32,0.5,0.03,0.73,0.35,0.5,3.65,1.39,0.29,0.25,0.79,0.5,0.65,5.19,1.97,0.3,0.75
2020-2021,Disheinat,Matouri,0.74,0.45,0.55,4.47,1.69,0.28,0.77,0.48,0.52,4.87,1.85,0.29,0,0.06,0.3,0.16,0.06,0.07,0.85,0.7,0.94,7.14,2.71,0.34,0.08,0.11,0.11,1.39,0.53,0.03,0.73,0.39,0.47,3.75,1.42,0.28,0.25,0.79,0.53,0.61,5.48,2.08,0.3,0.75
2020-2021,Um_Gargor,Elshawal,0.75,0.49,0.51,4.79,1.82,0.28,0.76,0.51,0.49,4.95,1.88,0.28,0.33,0.09,0.26,0.51,0.19,0.16,0.82,0.74,0.91,7.19,2.73,0.33,0.04,0.08,0.08,0.97,0.37,0.02,0.75,0.46,0.45,4.37,1.66,0.27,0.25,0.78,0.55,0.54,5.41,2.05,0.29,0.75
2020-2021,Al_Gamosi,Gabouga,0.74,0.43,0.57,4.2,1.59,0.28,0.76,0.45,0.55,4.45,1.69,0.29,0,0.06,0.32,0.05,0.02,0.02,0.83,0.68,0.94,6.87,2.6,0.33,0.08,0.1,0.1,1.22,0.46,0.03,0.72,0.37,0.49,3.54,1.34,0.28,0.25,0.78,0.51,0.63,5.08,1.93,0.29,0.75
2020-2021,Gabouga,Gabouga,0.74,0.44,0.56,4.19,1.59,0.27,0.76,0.46,0.54,4.47,1.69,0.28,0,0.07,0.31,0.12,0.05,0.05,0.83,0.69,0.93,6.77,2.57,0.32,0.08,0.1,0.1,1.15,0.44,0.03,0.73,0.39,0.49,3.67,1.39,0.27,0.25,0.78,0.51,0.61,5,1.9,0.29,0.75
2020-2021,Elshawal_Al_Riyasa,Elshawal,0.75,0.45,0.55,4.23,1.6,0.27,0.76,0.46,0.54,4.39,1.67,0.27,0.37,0.15,0.27,0.81,0.31,0.15,0.82,0.73,0.85,6.92,2.63,0.31,0.05,0.09,0.09,1.02,0.39,0.02,0.73,0.39,0.49,3.61,1.37,0.26,0.25,0.78,0.51,0.61,4.92,1.87,0.28,0.75
