season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2020-2021,Abd_Elmagid,Surhan,0.75,0.24,0.76,1.82,1.12,0.3,0.77,0.24,0.76,1.83,1.12,0.29,0.3,0.05,0.54,0.29,0.18,0.21,0.86,0.46,0.95,4.39,2.69,0.47,0.06,0.06,0.06,0.52,0.32,0.04,0.74,0.2,0.72,1.49,0.91,0.28,0.25,0.79,0.28,0.8,2.12,1.3,0.31,0.75
2020-2021,Surhan_Al_Riyasa,Surhan,0.73,0.24,0.76,1.91,1.17,0.31,0.76,0.25,0.75,1.89,1.16,0.3,0,0.04,0.42,0,0,0,0.87,0.58,0.96,5.72,3.5,0.45,0.1,0.07,0.07,0.65,0.4,0.03,0.71,0.19,0.71,1.49,0.91,0.29,0.25,0.79,0.29,0.81,2.31,1.42,0.32,0.75
2020-2021,Istarhna,Al_Gourashi,0.73,0.26,0.74,1.98,1.21,0.3,0.75,0.27,0.73,1.99,1.22,0.3,0.09,0.05,0.51,0.07,0.04,0.04,0.84,0.49,0.95,4.71,2.88,0.45,0.08,0.06,0.06,0.61,0.37,0.03,0.71,0.22,0.7,1.6,0.98,0.28,0.25,0.78,0.3,0.78,2.35,1.44,0.32,0.75
2020-2021,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.73,0.27,0.73,2.14,1.31,0.31,0.76,0.28,0.72,2.11,1.29,0.3,0.04,0.04,0.36,0.15,0.09,0.09,0.85,0.64,0.96,6.33,3.88,0.44,0.09,0.07,0.07,0.68,0.42,0.04,0.72,0.24,0.68,1.76,1.08,0.29,0.25,0.78,0.32,0.76,2.49,1.53,0.32,0.75
2020-2021,El_Rukun,Tabat,0.74,0.28,0.72,2.29,1.4,0.32,0.76,0.28,0.72,2.28,1.4,0.32,0.19,0.07,0.53,0.33,0.2,0.19,0.85,0.47,0.93,4.52,2.77,0.42,0.08,0.07,0.07,0.66,0.41,0.03,0.71,0.24,0.68,1.87,1.15,0.3,0.25,0.78,0.32,0.76,2.7,1.65,0.34,0.75
2020-2021,Wad_El_Saiyid,Elmessellamia,0.7,0.26,0.74,2.14,1.31,0.32,0.72,0.27,0.73,2.16,1.32,0.32,0.13,0.05,0.47,0.16,0.1,0.13,0.83,0.53,0.95,5.21,3.19,0.45,0.09,0.07,0.07,0.68,0.42,0.03,0.67,0.22,0.69,1.65,1.01,0.3,0.25,0.76,0.31,0.78,2.57,1.57,0.34,0.75
2020-2021,Al_Firijab,Surhan,0.73,0.27,0.73,2.15,1.31,0.32,0.76,0.28,0.72,2.15,1.32,0.32,0.12,0.05,0.49,0.15,0.09,0.1,0.87,0.51,0.95,4.91,3.01,0.45,0.09,0.07,0.07,0.66,0.4,0.03,0.7,0.22,0.68,1.71,1.05,0.3,0.25,0.78,0.32,0.78,2.55,1.56,0.34,0.75
2020-2021,Tannub,Tabat,0.74,0.26,0.74,2.06,1.26,0.32,0.76,0.26,0.74,2,1.23,0.31,0.03,0.06,0.49,0.13,0.08,0.09,0.88,0.51,0.94,5.19,3.18,0.44,0.07,0.06,0.06,0.64,0.39,0.04,0.71,0.22,0.7,1.68,1.03,0.29,0.25,0.78,0.3,0.78,2.36,1.44,0.34,0.75
2020-2021,Tabat_Al_Riyasa,Tabat,0.74,0.29,0.71,2.38,1.46,0.33,0.76,0.29,0.71,2.33,1.42,0.33,0.05,0.05,0.46,0.19,0.12,0.14,0.86,0.54,0.95,5.56,3.41,0.42,0.08,0.08,0.08,0.77,0.47,0.03,0.71,0.23,0.66,1.85,1.14,0.31,0.25,0.78,0.34,0.77,2.87,1.76,0.35,0.75
2020-2021,Saad_Allah,Elmessellamia,0.73,0.29,0.71,2.49,1.52,0.34,0.74,0.3,0.7,2.52,1.54,0.34,0.13,0.08,0.43,0.36,0.22,0.19,0.87,0.57,0.92,5.72,3.5,0.42,0.07,0.07,0.07,0.71,0.43,0.03,0.7,0.25,0.66,2,1.23,0.32,0.25,0.78,0.34,0.75,2.98,1.82,0.36,0.75
2020-2021,Wad_ElBurr,Wad_ElBurr,0.73,0.28,0.72,2.39,1.46,0.33,0.77,0.29,0.71,2.39,1.47,0.34,0.04,0.05,0.45,0.17,0.11,0.13,0.87,0.55,0.95,5.57,3.41,0.42,0.1,0.08,0.08,0.82,0.5,0.04,0.71,0.23,0.66,1.88,1.15,0.31,0.25,0.8,0.34,0.77,2.93,1.79,0.36,0.75
2020-2021,Wad_Hilal,Wad_ElBurr,0.75,0.29,0.71,2.45,1.5,0.33,0.78,0.3,0.7,2.44,1.5,0.33,0.04,0.05,0.48,0.14,0.09,0.12,0.88,0.52,0.95,5.08,3.11,0.44,0.09,0.08,0.08,0.78,0.48,0.04,0.73,0.25,0.65,1.96,1.2,0.31,0.25,0.8,0.35,0.75,2.93,1.79,0.36,0.75
2020-2021,Elmessellamia_Al_Riyasa,Elmessellamia,0.71,0.3,0.7,2.63,1.61,0.35,0.73,0.31,0.69,2.66,1.63,0.36,0.23,0.1,0.51,0.47,0.28,0.2,0.84,0.49,0.9,4.87,2.98,0.41,0.07,0.06,0.06,0.7,0.43,0.03,0.68,0.26,0.65,2.17,1.33,0.34,0.25,0.77,0.35,0.74,3.1,1.9,0.37,0.75
2020-2021,Beika,Elmessellamia,0.73,0.31,0.69,2.75,1.68,0.35,0.75,0.32,0.68,2.74,1.68,0.36,0,0.06,0.45,0.06,0.03,0.04,0.85,0.55,0.94,5.53,3.38,0.44,0.08,0.07,0.07,0.8,0.49,0.03,0.7,0.27,0.64,2.2,1.35,0.34,0.25,0.78,0.36,0.73,3.27,2,0.38,0.75
2020-2021,Bortobeil,Elbasatna,0.75,0.31,0.69,2.55,1.56,0.33,0.78,0.32,0.68,2.56,1.56,0.33,0,0.06,0.45,0.09,0.05,0.05,0.87,0.55,0.94,5.14,3.15,0.41,0.09,0.08,0.08,0.77,0.47,0.03,0.74,0.27,0.63,2.05,1.26,0.31,0.25,0.8,0.37,0.73,3.03,1.85,0.35,0.75
2020-2021,Barakat_Al_Riyasa,Elbasatna,0.76,0.36,0.64,3.19,1.95,0.36,0.78,0.37,0.63,3.26,2,0.37,0,0.06,0.35,0.17,0.1,0.1,0.88,0.65,0.94,6.59,4.03,0.49,0.08,0.09,0.09,0.98,0.6,0.04,0.75,0.31,0.59,2.56,1.57,0.34,0.25,0.81,0.41,0.69,3.81,2.33,0.39,0.75
2020-2021,Wad_Figda,Hag Abdalla and North West Sennar,0.75,0.33,0.67,2.74,1.67,0.35,0.77,0.33,0.67,2.69,1.65,0.35,0.12,0.06,0.38,0.15,0.09,0.11,0.86,0.62,0.94,6.34,3.88,0.44,0.07,0.08,0.08,0.82,0.5,0.03,0.72,0.28,0.62,2.24,1.37,0.33,0.25,0.79,0.38,0.72,3.25,1.99,0.37,0.75
2020-2021,Al_Toman,Wad Elnaw,0.74,0.31,0.69,2.52,1.54,0.34,0.77,0.32,0.68,2.51,1.53,0.34,0.02,0.06,0.41,0.09,0.05,0.05,0.87,0.59,0.94,5.79,3.54,0.46,0.09,0.08,0.08,0.88,0.54,0.04,0.72,0.26,0.64,1.93,1.18,0.31,0.25,0.79,0.36,0.74,3.08,1.88,0.36,0.75
2020-2021,Hag_Abdalla,Hag Abdalla and North West Sennar,0.76,0.32,0.68,2.54,1.56,0.33,0.78,0.33,0.67,2.56,1.57,0.33,0.04,0.05,0.41,0.2,0.12,0.15,0.88,0.59,0.95,5.74,3.52,0.41,0.09,0.08,0.08,0.82,0.5,0.03,0.75,0.28,0.63,2.07,1.26,0.31,0.25,0.8,0.37,0.72,3.05,1.87,0.35,0.75
2020-2021,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.77,0.33,0.67,2.69,1.65,0.33,0.79,0.34,0.66,2.66,1.63,0.33,0,0.04,0.33,0,0,0,0.88,0.67,0.96,6.63,4.06,0.45,0.09,0.09,0.09,0.89,0.54,0.04,0.76,0.29,0.61,2.13,1.31,0.31,0.25,0.81,0.39,0.71,3.22,1.97,0.36,0.75
2020-2021,Hadad,Hag Abdalla and North West Sennar,0.76,0.37,0.63,3.62,2.21,0.41,0.77,0.38,0.62,3.67,2.25,0.41,0.51,0.14,0.4,1.02,0.62,0.29,0.87,0.6,0.86,6.33,3.88,0.49,0.05,0.08,0.08,0.98,0.6,0.04,0.73,0.32,0.58,2.95,1.8,0.39,0.25,0.79,0.42,0.68,4.25,2.6,0.44,0.75
2020-2021,Gundal,Hag Abdalla and North West Sennar,0.74,0.34,0.66,3.04,1.86,0.38,0.76,0.34,0.66,3.05,1.87,0.38,0.01,0.1,0.45,0.14,0.09,0.06,0.84,0.55,0.9,5.34,3.27,0.45,0.08,0.08,0.08,0.87,0.53,0.03,0.72,0.29,0.61,2.52,1.54,0.37,0.25,0.79,0.39,0.71,3.62,2.22,0.4,0.75
2020-2021,Fahal,El_Mukhtar,0.71,0.31,0.69,2.64,1.62,0.36,0.74,0.31,0.69,2.63,1.61,0.36,0.01,0.07,0.34,0,0,0,0.85,0.66,0.93,6.11,3.74,0.46,0.09,0.07,0.07,0.8,0.49,0.04,0.68,0.26,0.64,2.13,1.3,0.34,0.25,0.77,0.36,0.74,3.16,1.93,0.38,0.75
2020-2021,Hamadna_Allah,El_Mukhtar,0.75,0.3,0.7,2.48,1.52,0.33,0.77,0.31,0.69,2.47,1.51,0.33,0,0.06,0.34,0,0,0,0.87,0.66,0.94,5.85,3.58,0.45,0.09,0.07,0.07,0.76,0.47,0.04,0.73,0.26,0.65,2.02,1.24,0.31,0.25,0.8,0.35,0.74,2.91,1.78,0.35,0.75
2020-2021,Um_Degina,El_Mukhtar,0.72,0.28,0.72,2.32,1.42,0.34,0.75,0.28,0.72,2.3,1.41,0.34,0.02,0.04,0.43,0.13,0.08,0.11,0.86,0.57,0.96,5.67,3.47,0.43,0.1,0.07,0.07,0.73,0.45,0.03,0.69,0.23,0.67,1.87,1.14,0.32,0.25,0.78,0.33,0.77,2.76,1.69,0.35,0.75
2020-2021,Shaliee_Al_Riyasa,Shaliee,0.76,0.3,0.7,2.53,1.55,0.34,0.77,0.31,0.69,2.53,1.55,0.34,0.01,0.05,0.47,0.11,0.07,0.06,0.87,0.53,0.95,5.04,3.08,0.45,0.08,0.07,0.07,0.68,0.41,0.03,0.74,0.26,0.65,2.13,1.31,0.32,0.25,0.8,0.35,0.74,2.95,1.81,0.36,0.75
2020-2021,Wad_Elzain,Shaliee,0.76,0.28,0.72,2.29,1.4,0.32,0.77,0.29,0.71,2.28,1.4,0.32,0,0.03,0.37,0.01,0.01,0.01,0.89,0.63,0.97,7.35,4.5,0.46,0.09,0.07,0.07,0.7,0.43,0.03,0.73,0.24,0.67,1.82,1.11,0.3,0.25,0.81,0.33,0.76,2.79,1.71,0.34,0.75
2020-2021,Shandi,Shaliee,0.74,0.25,0.75,2.02,1.23,0.31,0.77,0.26,0.74,2.01,1.23,0.31,0,0.04,0.55,0.04,0.02,0.03,0.87,0.45,0.96,4.25,2.6,0.46,0.09,0.07,0.07,0.62,0.38,0.04,0.73,0.21,0.71,1.63,1,0.29,0.25,0.79,0.29,0.79,2.38,1.45,0.33,0.75
2020-2021,Elhurga_Nuraldin,Elhurga/Nuraldin,0.68,0.14,0.86,0.89,0.55,0.26,0.7,0.14,0.86,0.88,0.54,0.26,0.17,0.04,0.73,0.18,0.11,0.17,0.79,0.27,0.96,1.83,1.12,0.31,0.08,0.04,0.04,0.27,0.17,0.02,0.66,0.12,0.83,0.7,0.43,0.24,0.25,0.73,0.17,0.88,1.06,0.65,0.27,0.75
2020-2021,El_Sharqi_Al_Riyasa,Al Genied,0.65,0.14,0.86,0.88,0.54,0.24,0.7,0.14,0.86,0.86,0.52,0.24,0,0.03,0.7,0.07,0.04,0.08,0.84,0.3,0.97,2.27,1.39,0.32,0.15,0.06,0.06,0.43,0.27,0.03,0.59,0.1,0.82,0.53,0.32,0.22,0.25,0.76,0.18,0.9,1.2,0.73,0.26,0.75
2020-2021,El_Ariga,EL_Mansi,0.76,0.28,0.72,2.33,1.43,0.32,0.78,0.29,0.71,2.34,1.43,0.32,0.11,0.06,0.47,0.24,0.15,0.16,0.86,0.53,0.94,5.17,3.16,0.44,0.08,0.07,0.07,0.71,0.43,0.03,0.74,0.24,0.66,1.86,1.14,0.3,0.25,0.8,0.34,0.76,2.79,1.71,0.34,0.75
2020-2021,Shakir,EL_Mansi,0.74,0.25,0.75,2.02,1.23,0.32,0.76,0.25,0.75,1.99,1.22,0.31,0.02,0.03,0.49,0.05,0.03,0.06,0.88,0.51,0.97,5,3.06,0.45,0.09,0.07,0.07,0.68,0.42,0.04,0.71,0.2,0.71,1.57,0.96,0.3,0.25,0.79,0.29,0.8,2.43,1.49,0.34,0.75
2020-2021,EL_Nala,El_Tahameed,0.74,0.27,0.73,2.45,1.5,0.35,0.77,0.28,0.72,2.48,1.52,0.35,0,0.04,0.54,0.04,0.03,0.04,0.86,0.46,0.96,5.36,3.28,0.48,0.09,0.07,0.07,0.81,0.49,0.04,0.72,0.22,0.68,1.92,1.17,0.33,0.25,0.79,0.32,0.78,3,1.83,0.37,0.75
2020-2021,EL_Mansi_Al_Riyasa,EL_Mansi,0.76,0.29,0.71,2.41,1.48,0.32,0.78,0.3,0.7,2.43,1.48,0.33,0,0.04,0.49,0,0,0,0.87,0.51,0.96,5.03,3.08,0.43,0.1,0.07,0.07,0.72,0.44,0.03,0.74,0.25,0.66,1.97,1.21,0.31,0.25,0.81,0.34,0.75,2.87,1.76,0.34,0.75
2020-2021,El_Tahameed_Al_Riyasa,El_Tahameed,0.76,0.27,0.73,2.25,1.37,0.32,0.78,0.27,0.73,2.22,1.36,0.32,0.22,0.04,0.48,0.26,0.16,0.22,0.86,0.52,0.96,5.34,3.27,0.45,0.06,0.06,0.06,0.64,0.39,0.03,0.75,0.23,0.69,1.81,1.11,0.3,0.25,0.8,0.31,0.77,2.66,1.63,0.34,0.75
2020-2021,Tku,El_Tahameed,0.75,0.25,0.75,2.14,1.31,0.33,0.77,0.26,0.74,2.13,1.3,0.33,0.03,0.04,0.53,0.1,0.06,0.09,0.87,0.47,0.96,4.62,2.83,0.46,0.08,0.07,0.07,0.65,0.4,0.03,0.72,0.21,0.7,1.74,1.06,0.31,0.25,0.79,0.3,0.79,2.54,1.55,0.35,0.75
2020-2021,Al_Tarfa,Elfakhakhir,0.72,0.24,0.76,1.98,1.21,0.33,0.75,0.24,0.76,1.98,1.21,0.33,0,0.03,0.56,0.11,0.07,0.1,0.86,0.44,0.97,4.43,2.71,0.46,0.09,0.07,0.07,0.63,0.39,0.03,0.7,0.2,0.72,1.58,0.97,0.31,0.25,0.78,0.28,0.8,2.37,1.45,0.34,0.75
2020-2021,Al_Taayif,Elfakhakhir,0.76,0.27,0.73,2.18,1.34,0.32,0.78,0.28,0.72,2.16,1.32,0.32,0,0.04,0.52,0,0,0,0.87,0.48,0.96,4.7,2.88,0.42,0.08,0.07,0.07,0.62,0.38,0.03,0.74,0.23,0.68,1.78,1.09,0.3,0.25,0.8,0.32,0.77,2.57,1.57,0.34,0.75
2020-2021,Al_Krimit,Elfakhakhir,0.76,0.3,0.7,2.51,1.53,0.33,0.78,0.31,0.69,2.51,1.54,0.33,0,0.05,0.49,0,0,0,0.88,0.51,0.95,4.98,3.05,0.42,0.09,0.07,0.07,0.69,0.42,0.03,0.75,0.27,0.65,2.08,1.27,0.31,0.25,0.81,0.35,0.73,2.95,1.8,0.35,0.75
2020-2021,Hegeliga,Elhafair,0.76,0.27,0.73,2.14,1.31,0.32,0.78,0.28,0.72,2.14,1.31,0.32,0.02,0.04,0.53,0.15,0.09,0.14,0.87,0.47,0.96,4.3,2.63,0.41,0.08,0.07,0.07,0.6,0.37,0.03,0.74,0.23,0.68,1.75,1.07,0.3,0.25,0.81,0.32,0.77,2.53,1.55,0.33,0.75
2020-2021,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.75,0.27,0.73,2.19,1.34,0.32,0.78,0.28,0.72,2.19,1.34,0.32,0,0.04,0.53,0.08,0.05,0.05,0.87,0.47,0.96,4.89,2.99,0.42,0.1,0.07,0.07,0.63,0.38,0.03,0.73,0.23,0.68,1.82,1.11,0.31,0.25,0.81,0.32,0.77,2.58,1.58,0.34,0.75
2020-2021,Matouri_Al_Riyasa,Matouri,0.76,0.27,0.73,2.08,1.27,0.31,0.78,0.27,0.73,2.02,1.24,0.31,0,0.03,0.45,0,0,0,0.89,0.55,0.97,5.3,3.24,0.43,0.1,0.08,0.08,0.72,0.44,0.03,0.73,0.22,0.68,1.63,1,0.3,0.25,0.82,0.32,0.78,2.49,1.52,0.33,0.75
2020-2021,El_Zafir,Elhafair,0.73,0.24,0.76,2,1.23,0.33,0.75,0.25,0.75,2.01,1.23,0.33,0,0.03,0.24,0.04,0.03,0.04,0.86,0.76,0.97,8.27,5.06,0.46,0.09,0.07,0.07,0.64,0.39,0.03,0.71,0.2,0.71,1.6,0.98,0.31,0.25,0.78,0.29,0.8,2.41,1.48,0.34,0.75
2020-2021,Elhafair_Al_Riyasa,Elhafair,0.72,0.22,0.78,1.91,1.17,0.33,0.75,0.22,0.78,1.89,1.15,0.33,0,0.02,0.55,0.07,0.04,0.11,0.85,0.45,0.98,4.75,2.91,0.45,0.11,0.08,0.08,0.78,0.48,0.04,0.68,0.16,0.72,1.35,0.83,0.31,0.25,0.79,0.28,0.84,2.45,1.5,0.36,0.75
2020-2021,Um_Suneita,Matouri,0.72,0.23,0.77,1.92,1.17,0.32,0.75,0.24,0.76,1.97,1.21,0.33,0,0.03,0.57,0,0,0,0.85,0.43,0.97,4.08,2.5,0.42,0.12,0.07,0.07,0.72,0.44,0.04,0.7,0.18,0.71,1.42,0.87,0.3,0.25,0.78,0.29,0.82,2.43,1.49,0.34,0.75
2020-2021,Disheinat,Matouri,0.76,0.27,0.73,2.17,1.33,0.32,0.78,0.28,0.72,2.19,1.34,0.32,0,0.04,0.52,0.06,0.04,0.06,0.9,0.48,0.96,4.86,2.97,0.45,0.09,0.07,0.07,0.63,0.39,0.03,0.74,0.23,0.68,1.76,1.08,0.3,0.25,0.81,0.32,0.77,2.57,1.58,0.34,0.75
2020-2021,Um_Gargor,Elshawal,0.77,0.33,0.67,2.89,1.77,0.36,0.78,0.33,0.67,2.9,1.78,0.36,0.48,0.12,0.4,0.8,0.49,0.27,0.87,0.6,0.88,6.03,3.69,0.41,0.05,0.07,0.07,0.73,0.45,0.02,0.75,0.29,0.63,2.44,1.49,0.34,0.25,0.8,0.37,0.71,3.34,2.04,0.37,0.75
2020-2021,Al_Gamosi,Gabouga,0.76,0.28,0.72,2.32,1.42,0.33,0.78,0.29,0.71,2.36,1.44,0.34,0,0.04,0.45,0.08,0.05,0.05,0.88,0.55,0.96,5.19,3.17,0.44,0.08,0.07,0.07,0.64,0.39,0.03,0.74,0.24,0.67,1.94,1.19,0.32,0.25,0.8,0.33,0.76,2.74,1.68,0.35,0.75
2020-2021,Gabouga,Gabouga,0.75,0.28,0.72,2.28,1.4,0.33,0.77,0.28,0.72,2.26,1.38,0.33,0,0.04,0.44,0.03,0.02,0.03,0.87,0.56,0.96,5.43,3.32,0.44,0.1,0.08,0.08,0.82,0.5,0.04,0.72,0.22,0.65,1.71,1.05,0.31,0.25,0.82,0.35,0.78,2.87,1.75,0.35,0.75
